# t Revolution_1 Revolution_2 Revolution_3 Revolution_4 Revolution_5 Revolution_6 Revolution_7 Revolution_8 Revolution_9 Revolution_10 Revolution_11 Revolution_12
0.4193 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4292 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4393 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4593 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4693 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4792 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4893 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.4993 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5093 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5193 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5292 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5393 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5593 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5692 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5792 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5893 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.5993 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6097 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6192 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
